Month,Number of Events,Number of Units,Number of Cases
Prior to jan 2011,15,,20548
2011/1,,,
2011/2,1,,
2011/3,,,
2011/4,3,,322
2011/5,2,,
2011/6,2,1100,
2011/7,1,,2568
2011/8,,,
2011/9,,,
2011/10,3,,6076
2011/11,1,1342,
2011/12,,,
2012/1,2,,710
2012/2,4,172,2585
2012/3,6,1419790,4024
2012/4,16,1496,2833
2012/5,56,1058106,749722
2012/6,74,311003,418163
2012/7,60,2531520,80461
2012/8,75,817267,1586778
2012/9,60,1471995,297112
2012/10,78,2909298,198620
2012/11,42,1527232,88710
2012/12,38,440336,222399510
2013/1,42,45951,77774
2013/2,48,321229,88850808
2013/3,48,273247,1592100
2013/4,35,548558,6581332
2013/5,49,65851,6724519
2013/6,45,317870,15536666
2013/7,38,120625,406469
2013/8,41,1765066,22010
2013/9,43,913527,132791409
2013/10,66,2998824,2250491
2013/11,52,4889708,2428324
2013/12,36,51674,66967
2014/1,46,32823,12412
2014/2,54,419557,83281
2014/3,46,889580,114115
2014/4,50,1749841,61936
2014/5,49,180626,139083
2014/6,43,2174694,112651
2014/7,55,2137335,173055
2014/8,30,3691254,1013654
2014/9,33,5368,315380
2014/10,48,883346,267311
2014/11,47,143502,8041205
2014/12,70,5801157,6829925
2015/1,86,834634,256140
2015/2,52,11991181,551245
2015/3,55,476011983,373660
2015/4,50,53774,91281
2015/5,39,814549,187487109
2015/6,35,157055,987547
2015/7,45,45567,111916
2015/8,43,890059,308195
2015/9,48,518800,67519
2015/10,62,504993,627458
2015/11,44,456269,52576
2015/12,42,141335,2382953
2016/1,29,53652,3790
2016/2,67,125413,249589
2016/3,69,2085013,5137006
2016/4,69,1104208,159862
2016/5,84,1728089,3248710
2016/6,87,31552215,130241331
2016/7,55,162535,3197917
2016/8,44,1634515,144992
2016/9,47,6531936,282661
2016/10,42,1724682,2961689
2016/11,63,12757046,3486274
2016/12,89,8190196,531104
2017/1,43,299379,187631221
2017/2,40,636794,3695347
2017/3,47,191936,127863
2017/4,37,20652380,28535
2017/5,66,5687504,96317
2017/6,66,763881,1021778
2017/7,29,8686,176014
2017/8,44,1360018,1085855
2017/9,34,131047,89308
2017/10,63,790424,548473
2017/11,38,358064,46915
2017/12,4,93500,4449
After Dec 2017,,,
